task_id,title,description,type,difficulty,estimated_time,category,skill_level,tags,steps,hints,video_url,web_url
machine-learning-02-01,Data Preprocessing: Intro,"Practice Data Preprocessing within Machine Learning: step 1 of 10, progressing from basics to advanced.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,data,preprocessing",Read a short overview of Data Preprocessing in Machine Learning|Implement a minimal example for Data Preprocessing (task 1)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Preprocessing' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-02-02,Data Preprocessing: Basics,"Practice Data Preprocessing within Machine Learning: step 2 of 10, progressing from basics to advanced.",practice,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,data,preprocessing",Read a short overview of Data Preprocessing in Machine Learning|Implement a minimal example for Data Preprocessing (task 2)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Preprocessing' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-02-03,Data Preprocessing: Hands-on,"Practice Data Preprocessing within Machine Learning: step 3 of 10, progressing from basics to advanced.",project,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,data,preprocessing",Read a short overview of Data Preprocessing in Machine Learning|Implement a minimal example for Data Preprocessing (task 3)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Preprocessing' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-02-04,Data Preprocessing: Apply,"Practice Data Preprocessing within Machine Learning: step 4 of 10, progressing from basics to advanced.",quiz,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,data,preprocessing",Read a short overview of Data Preprocessing in Machine Learning|Implement a minimal example for Data Preprocessing (task 4)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Preprocessing' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-02-05,Data Preprocessing: Deep Dive,"Practice Data Preprocessing within Machine Learning: step 5 of 10, progressing from basics to advanced.",coding,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,data,preprocessing",Read a short overview of Data Preprocessing in Machine Learning|Implement a minimal example for Data Preprocessing (task 5)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Preprocessing' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-02-06,Data Preprocessing: From Scratch,"Practice Data Preprocessing within Machine Learning: step 6 of 10, progressing from basics to advanced.",practice,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,data,preprocessing",Read a short overview of Data Preprocessing in Machine Learning|Implement a minimal example for Data Preprocessing (task 6)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Preprocessing' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-02-07,Data Preprocessing: Best Practices,"Practice Data Preprocessing within Machine Learning: step 7 of 10, progressing from basics to advanced.",project,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,data,preprocessing",Read a short overview of Data Preprocessing in Machine Learning|Implement a minimal example for Data Preprocessing (task 7)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Preprocessing' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-02-08,Data Preprocessing: Performance,"Practice Data Preprocessing within Machine Learning: step 8 of 10, progressing from basics to advanced.",quiz,Hard,40 minutes,Machine Learning,Advanced,"machine-learning,data,preprocessing",Read a short overview of Data Preprocessing in Machine Learning|Implement a minimal example for Data Preprocessing (task 8)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Preprocessing' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-02-09,Data Preprocessing: Real-World,"Practice Data Preprocessing within Machine Learning: step 9 of 10, progressing from basics to advanced.",coding,Hard,40 minutes,Machine Learning,Advanced,"machine-learning,data,preprocessing",Read a short overview of Data Preprocessing in Machine Learning|Implement a minimal example for Data Preprocessing (task 9)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Preprocessing' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-02-10,Data Preprocessing: Capstone,"Practice Data Preprocessing within Machine Learning: step 10 of 10, progressing from basics to advanced.",practice,Expert,60 minutes,Machine Learning,Advanced,"machine-learning,data,preprocessing",Read a short overview of Data Preprocessing in Machine Learning|Implement a minimal example for Data Preprocessing (task 10)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Preprocessing' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-03-01,Linear Regression: Intro,"Practice Linear Regression within Machine Learning: step 1 of 10, progressing from basics to advanced.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,linear,regression",Read a short overview of Linear Regression in Machine Learning|Implement a minimal example for Linear Regression (task 1)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Linear Regression' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-03-02,Linear Regression: Basics,"Practice Linear Regression within Machine Learning: step 2 of 10, progressing from basics to advanced.",practice,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,linear,regression",Read a short overview of Linear Regression in Machine Learning|Implement a minimal example for Linear Regression (task 2)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Linear Regression' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-03-03,Linear Regression: Hands-on,"Practice Linear Regression within Machine Learning: step 3 of 10, progressing from basics to advanced.",project,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,linear,regression",Read a short overview of Linear Regression in Machine Learning|Implement a minimal example for Linear Regression (task 3)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Linear Regression' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-03-04,Linear Regression: Apply,"Practice Linear Regression within Machine Learning: step 4 of 10, progressing from basics to advanced.",quiz,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,linear,regression",Read a short overview of Linear Regression in Machine Learning|Implement a minimal example for Linear Regression (task 4)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Linear Regression' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-03-05,Linear Regression: Deep Dive,"Practice Linear Regression within Machine Learning: step 5 of 10, progressing from basics to advanced.",coding,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,linear,regression",Read a short overview of Linear Regression in Machine Learning|Implement a minimal example for Linear Regression (task 5)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Linear Regression' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-03-06,Linear Regression: From Scratch,"Practice Linear Regression within Machine Learning: step 6 of 10, progressing from basics to advanced.",practice,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,linear,regression",Read a short overview of Linear Regression in Machine Learning|Implement a minimal example for Linear Regression (task 6)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Linear Regression' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-03-07,Linear Regression: Best Practices,"Practice Linear Regression within Machine Learning: step 7 of 10, progressing from basics to advanced.",project,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,linear,regression",Read a short overview of Linear Regression in Machine Learning|Implement a minimal example for Linear Regression (task 7)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Linear Regression' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-03-08,Linear Regression: Performance,"Practice Linear Regression within Machine Learning: step 8 of 10, progressing from basics to advanced.",quiz,Hard,40 minutes,Machine Learning,Advanced,"machine-learning,linear,regression",Read a short overview of Linear Regression in Machine Learning|Implement a minimal example for Linear Regression (task 8)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Linear Regression' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-03-09,Linear Regression: Real-World,"Practice Linear Regression within Machine Learning: step 9 of 10, progressing from basics to advanced.",coding,Hard,40 minutes,Machine Learning,Advanced,"machine-learning,linear,regression",Read a short overview of Linear Regression in Machine Learning|Implement a minimal example for Linear Regression (task 9)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Linear Regression' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-03-10,Linear Regression: Capstone,"Practice Linear Regression within Machine Learning: step 10 of 10, progressing from basics to advanced.",practice,Expert,60 minutes,Machine Learning,Advanced,"machine-learning,linear,regression",Read a short overview of Linear Regression in Machine Learning|Implement a minimal example for Linear Regression (task 10)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Linear Regression' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-04-01,Logistic Regression & Classification: Intro,"Practice Logistic Regression & Classification within Machine Learning: step 1 of 10, progressing from basics to advanced.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,logistic,regression,&",Read a short overview of Logistic Regression & Classification in Machine Learning|Implement a minimal example for Logistic Regression & Classification (task 1)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Logistic Regression & Classification' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-04-02,Logistic Regression & Classification: Basics,"Practice Logistic Regression & Classification within Machine Learning: step 2 of 10, progressing from basics to advanced.",practice,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,logistic,regression,&",Read a short overview of Logistic Regression & Classification in Machine Learning|Implement a minimal example for Logistic Regression & Classification (task 2)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Logistic Regression & Classification' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-04-03,Logistic Regression & Classification: Hands-on,"Practice Logistic Regression & Classification within Machine Learning: step 3 of 10, progressing from basics to advanced.",project,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,logistic,regression,&",Read a short overview of Logistic Regression & Classification in Machine Learning|Implement a minimal example for Logistic Regression & Classification (task 3)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Logistic Regression & Classification' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-04-04,Logistic Regression & Classification: Apply,"Practice Logistic Regression & Classification within Machine Learning: step 4 of 10, progressing from basics to advanced.",quiz,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,logistic,regression,&",Read a short overview of Logistic Regression & Classification in Machine Learning|Implement a minimal example for Logistic Regression & Classification (task 4)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Logistic Regression & Classification' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-04-05,Logistic Regression & Classification: Deep Dive,"Practice Logistic Regression & Classification within Machine Learning: step 5 of 10, progressing from basics to advanced.",coding,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,logistic,regression,&",Read a short overview of Logistic Regression & Classification in Machine Learning|Implement a minimal example for Logistic Regression & Classification (task 5)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Logistic Regression & Classification' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-04-06,Logistic Regression & Classification: From Scratch,"Practice Logistic Regression & Classification within Machine Learning: step 6 of 10, progressing from basics to advanced.",practice,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,logistic,regression,&",Read a short overview of Logistic Regression & Classification in Machine Learning|Implement a minimal example for Logistic Regression & Classification (task 6)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Logistic Regression & Classification' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-04-07,Logistic Regression & Classification: Best Practices,"Practice Logistic Regression & Classification within Machine Learning: step 7 of 10, progressing from basics to advanced.",project,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,logistic,regression,&",Read a short overview of Logistic Regression & Classification in Machine Learning|Implement a minimal example for Logistic Regression & Classification (task 7)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Logistic Regression & Classification' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-04-08,Logistic Regression & Classification: Performance,"Practice Logistic Regression & Classification within Machine Learning: step 8 of 10, progressing from basics to advanced.",quiz,Hard,40 minutes,Machine Learning,Advanced,"machine-learning,logistic,regression,&",Read a short overview of Logistic Regression & Classification in Machine Learning|Implement a minimal example for Logistic Regression & Classification (task 8)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Logistic Regression & Classification' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-04-09,Logistic Regression & Classification: Real-World,"Practice Logistic Regression & Classification within Machine Learning: step 9 of 10, progressing from basics to advanced.",coding,Hard,40 minutes,Machine Learning,Advanced,"machine-learning,logistic,regression,&",Read a short overview of Logistic Regression & Classification in Machine Learning|Implement a minimal example for Logistic Regression & Classification (task 9)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Logistic Regression & Classification' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-04-10,Logistic Regression & Classification: Capstone,"Practice Logistic Regression & Classification within Machine Learning: step 10 of 10, progressing from basics to advanced.",practice,Expert,60 minutes,Machine Learning,Advanced,"machine-learning,logistic,regression,&",Read a short overview of Logistic Regression & Classification in Machine Learning|Implement a minimal example for Logistic Regression & Classification (task 10)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Logistic Regression & Classification' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-05-01,Model Evaluation & Metrics: Intro,"Practice Model Evaluation & Metrics within Machine Learning: step 1 of 10, progressing from basics to advanced.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,model,evaluation,&",Read a short overview of Model Evaluation & Metrics in Machine Learning|Implement a minimal example for Model Evaluation & Metrics (task 1)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Model Evaluation & Metrics' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-05-02,Model Evaluation & Metrics: Basics,"Practice Model Evaluation & Metrics within Machine Learning: step 2 of 10, progressing from basics to advanced.",practice,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,model,evaluation,&",Read a short overview of Model Evaluation & Metrics in Machine Learning|Implement a minimal example for Model Evaluation & Metrics (task 2)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Model Evaluation & Metrics' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-05-03,Model Evaluation & Metrics: Hands-on,"Practice Model Evaluation & Metrics within Machine Learning: step 3 of 10, progressing from basics to advanced.",project,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,model,evaluation,&",Read a short overview of Model Evaluation & Metrics in Machine Learning|Implement a minimal example for Model Evaluation & Metrics (task 3)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Model Evaluation & Metrics' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-05-04,Model Evaluation & Metrics: Apply,"Practice Model Evaluation & Metrics within Machine Learning: step 4 of 10, progressing from basics to advanced.",quiz,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,model,evaluation,&",Read a short overview of Model Evaluation & Metrics in Machine Learning|Implement a minimal example for Model Evaluation & Metrics (task 4)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Model Evaluation & Metrics' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-05-05,Model Evaluation & Metrics: Deep Dive,"Practice Model Evaluation & Metrics within Machine Learning: step 5 of 10, progressing from basics to advanced.",coding,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,model,evaluation,&",Read a short overview of Model Evaluation & Metrics in Machine Learning|Implement a minimal example for Model Evaluation & Metrics (task 5)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Model Evaluation & Metrics' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-05-06,Model Evaluation & Metrics: From Scratch,"Practice Model Evaluation & Metrics within Machine Learning: step 6 of 10, progressing from basics to advanced.",practice,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,model,evaluation,&",Read a short overview of Model Evaluation & Metrics in Machine Learning|Implement a minimal example for Model Evaluation & Metrics (task 6)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Model Evaluation & Metrics' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-05-07,Model Evaluation & Metrics: Best Practices,"Practice Model Evaluation & Metrics within Machine Learning: step 7 of 10, progressing from basics to advanced.",project,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,model,evaluation,&",Read a short overview of Model Evaluation & Metrics in Machine Learning|Implement a minimal example for Model Evaluation & Metrics (task 7)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Model Evaluation & Metrics' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-05-08,Model Evaluation & Metrics: Performance,"Practice Model Evaluation & Metrics within Machine Learning: step 8 of 10, progressing from basics to advanced.",quiz,Hard,40 minutes,Machine Learning,Advanced,"machine-learning,model,evaluation,&",Read a short overview of Model Evaluation & Metrics in Machine Learning|Implement a minimal example for Model Evaluation & Metrics (task 8)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Model Evaluation & Metrics' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
