id,title,description,type,difficulty,duration,tags,category,author,rating,likes,url
19,"UI/UX Design Fundamentals","Learn design principles, wireframing, and prototyping using Figma","course","Beginner","7 hours","ui-ux,design,figma,wireframe,prototype","UI/UX Design","Coursera (Google)",4.8,5400,"https://www.coursera.org/learn/foundations-user-experience-design"
20,"Advanced UX Research and Strategy","Master advanced UX processes, user psychology, and usability testing","course","Advanced","15 hours","ux,design,research,usability,testing","UI/UX Design","Interaction Design Foundation",4.7,2100,"https://www.interaction-design.org/courses/ux-research-and-strategy"
21,"Data Science Foundations","Introduction to data science concepts including statistics, Python, and data visualization","course","Beginner","10 hours","data-science,python,statistics,visualization","Data Science","IBM (Coursera)",4.6,4100,"https://www.coursera.org/learn/what-is-datascience"
22,"Applied Data Science with Python","Work with pandas, matplotlib, scikit-learn, and machine learning models in Python","course","Intermediate","25 hours","data-science,python,ml,pandas,sklearn","Data Science","University of Michigan",4.8,5100,"https://www.coursera.org/specializations/data-science-python"
23,"Advanced Data Science with TensorFlow on Google Cloud","Develop, train, and deploy ML models at scale using TensorFlow and GCP","course","Advanced","30 hours","data-science,deep-learning,tensorflow,gcp","Data Science","Google Cloud",4.7,2800,"https://www.coursera.org/specializations/advanced-data-science-tensorflow-gcp"
24,"Introduction to Cloud Computing","Learn fundamentals of cloud computing, service models, and cloud architecture","course","Beginner","8 hours","cloud,computing,iaas,paas,aws,gcp,azure","Cloud Computing","IBM (Coursera)",4.6,4500,"https://www.coursera.org/learn/introduction-to-cloud"
25,"Architecting with Google Compute Engine","Design and deploy scalable applications using Google Cloud infrastructure","course","Intermediate","12 hours","cloud,google,architecture,compute,storage","Cloud Computing","Google Cloud",4.7,3200,"https://www.coursera.org/specializations/gcp-architecture"
26,"AWS Cloud Architect Nanodegree","Master AWS infrastructure, networking, and DevOps with real-world projects","course","Advanced","40 hours","aws,cloud,architecture,devops,infrastructure","Cloud Computing","Udacity",4.8,2800,"https://www.udacity.com/course/cloud-developer-nanodegree--nd9990"
27,"Introduction to Mobile App Development","Build your first Android and iOS app using Flutter","course","Beginner","6 hours","mobile,flutter,android,ios,app-development","Mobile Development","Google",4.5,2400,"https://developers.google.com/learn/pathways/flutter-beginner"
28,"Android Development for Beginners","Learn Android app development using Kotlin and Android Studio","course","Beginner","10 hours","android,kotlin,mobile,apps","Mobile Development","Google",4.6,3200,"https://developer.android.com/courses/fundamentals-training"
29,"iOS App Development with Swift","Learn Swift programming and build native iOS apps with Xcode","course","Intermediate","15 hours","ios,swift,mobile,apple,xcode","Mobile Development","Apple",4.7,2800,"https://developer.apple.com/learn/curriculum/ios-development/"
30,"Advanced Flutter & Firebase","Create scalable, data-driven mobile apps using Flutter and Firebase backend","course","Advanced","20 hours","flutter,firebase,mobile,backend","Mobile Development","Udemy",4.8,3100,"https://www.udemy.com/course/flutter-firebase-build-app/"
31,"Full-Stack Web Development with Node.js and React","Learn full-stack app development using Node.js, Express, MongoDB, and React","course","Intermediate","30 hours","node.js,react,fullstack,mongodb,api","Web Development","The Hong Kong University of Science and Technology",4.8,4300,"https://www.coursera.org/specializations/full-stack-react"
32,"Building RESTful APIs with Node.js","Build secure REST APIs with Node, Express, and MongoDB","course","Intermediate","12 hours","node.js,express,api,backend,security","Backend Development","Mosh Hamedani",4.7,3500,"https://codewithmosh.com/p/node-api-tutorial"
33,"Advanced JavaScript Concepts","Understand closures, prototypes, async patterns, and performance optimization","course","Advanced","10 hours","javascript,advanced,async,closure,prototype","Web Development","Andrei Neagoie",4.8,3900,"https://www.udemy.com/course/advanced-javascript-concepts/"
34,"UI/UX Design with Figma","Create wireframes, prototypes, and responsive layouts with Figma","course","Intermediate","9 hours","ui,ux,figma,design,prototype","UI/UX Design","Coursera (California Institute of the Arts)",4.7,2600,"https://www.coursera.org/learn/figma-ui-ux-design"
35,"Interaction Design Specialization","Learn user-centered design, usability testing, and design research methods","course","Advanced","40 hours","ux,design,interaction,usability,research","UI/UX Design","University of California, San Diego",4.8,3100,"https://www.coursera.org/specializations/interaction-design"
36,"Data Engineering with Google Cloud","Learn data ingestion, transformation, and orchestration with GCP tools","course","Intermediate","20 hours","data-engineering,cloud,gcp,bigquery,etl","Cloud Computing","Google Cloud",4.6,2200,"https://www.coursera.org/specializations/gcp-data-engineering"
37,"DevOps Foundations","Learn CI/CD, source control, and collaboration with Docker and Jenkins","course","Beginner","8 hours","devops,ci-cd,jenkins,docker,automation","DevOps","LinkedIn Learning",4.5,2500,"https://www.linkedin.com/learning/devops-foundations"
38,"CI/CD Pipelines with Jenkins and GitHub","Automate software delivery using Jenkins pipelines integrated with GitHub","course","Intermediate","10 hours","devops,jenkins,github,automation,ci-cd","DevOps","Coursera (IBM)",4.6,2700,"https://www.coursera.org/learn/continuous-integration-continuous-delivery"
39,"Site Reliability Engineering (SRE) Fundamentals","Understand SRE principles, monitoring, and incident response for scalable systems","course","Advanced","18 hours","sre,devops,monitoring,operations","DevOps","Google Cloud",4.8,2100,"https://www.coursera.org/learn/site-reliability-engineering-sre"
40,"Database Systems Concepts & Design","In-depth database course covering SQL, transactions, indexing, and ER modeling","course","Advanced","20 hours","database,sql,transactions,indexing,design","Database","Stanford University",4.9,3500,"https://online.stanford.edu/courses/soe-ydbscs-database-systems"
41,"Introduction to Artificial Intelligence","Overview of AI concepts including search, logic, and knowledge representation","course","Beginner","10 hours","ai,artificial-intelligence,basics,logic,search","Artificial Intelligence","IBM (Coursera)",4.6,3200,"https://www.coursera.org/learn/introduction-to-ai"
42,"AI For Everyone","Understand how AI is transforming industries, no coding required","course","Beginner","6 hours","ai,business,non-technical,overview","Artificial Intelligence","Andrew Ng (Coursera)",4.8,8100,"https://www.coursera.org/learn/ai-for-everyone"
43,"Machine Learning by Stanford University","Classic ML course covering supervised and unsupervised algorithms using Octave/Python","course","Intermediate","55 hours","machine-learning,algorithms,supervised,unsupervised,octave","Machine Learning","Andrew Ng (Stanford)",4.9,12500,"https://www.coursera.org/learn/machine-learning"
44,"Deep Learning for Computer Vision","Build image classification and object detection systems using CNNs and Keras","course","Intermediate","20 hours","deep-learning,computer-vision,cnn,keras,python","Deep Learning","Coursera (DeepLearning.AI)",4.8,5800,"https://www.coursera.org/learn/convolutional-neural-networks"
45,"Advanced Natural Language Processing","Implement NLP models for text generation and sentiment analysis with transformers","course","Advanced","25 hours","nlp,transformers,deep-learning,text-analysis,bert","Machine Learning","Hugging Face (Coursera)",4.7,3600,"https://www.coursera.org/learn/advanced-nlp-transformers"
46,"Reinforcement Learning Specialization","Learn RL concepts including Q-learning, policy gradients, and deep reinforcement learning","course","Advanced","40 hours","reinforcement-learning,ai,deep-learning,python","Artificial Intelligence","University of Alberta",4.8,3100,"https://www.coursera.org/specializations/reinforcement-learning"
47,"Software Engineering Essentials","Learn SDLC, agile, testing, and software architecture basics","course","Beginner","9 hours","software-engineering,agile,sdlc,testing,architecture","Software Engineering","University of Alberta (Coursera)",4.5,2700,"https://www.coursera.org/learn/software-processes-and-agile-practices"
48,"Object-Oriented Design in Java","Master OOP design principles, UML, and SOLID patterns using Java","course","Intermediate","15 hours","java,oop,design,uml,patterns","Software Engineering","Duke University",4.7,3400,"https://www.coursera.org/learn/object-oriented-design"
49,"Advanced Software Architecture","Learn distributed system design, microservices, and cloud-native architecture","course","Advanced","25 hours","architecture,design,microservices,cloud,software-engineering","Software Engineering","Pluralsight",4.8,3900,"https://www.pluralsight.com/courses/software-architecture-fundamentals"
50,"Data Analysis with Python","Perform exploratory data analysis, visualization, and regression in Python","course","Beginner","12 hours","data-analysis,python,pandas,visualization,eda","Data Science","IBM (Coursera)",4.7,5100,"https://www.coursera.org/learn/data-analysis-with-python"
51,"Data Visualization with Tableau","Learn to visualize and analyze data using Tableau dashboards and storytelling","course","Intermediate","10 hours","tableau,data-visualization,dashboard,business-intelligence","Data Science","University of California, Davis",4.7,4300,"https://www.coursera.org/learn/data-visualization-tableau"
52,"Advanced Statistics for Data Science","Master probability, regression, and statistical inference for ML and analytics","course","Advanced","25 hours","statistics,probability,math,data-science,ml","Data Science","Johns Hopkins University",4.8,3700,"https://www.coursera.org/learn/statistics-for-data-science"
53,"Generative AI Fundamentals","Learn the foundations of generative AI, large language models, and diffusion networks","course","Intermediate","8 hours","generative-ai,llm,deep-learning,ai","Artificial Intelligence","Google Cloud",4.8,4600,"https://www.cloudskillsboost.google/paths/generative-ai"
54,"Prompt Engineering for LLMs","Master prompt design, context engineering, and retrieval-augmented generation","course","Intermediate","6 hours","prompt-engineering,ai,openai,llm","Artificial Intelligence","DeepLearning.AI",4.7,4900,"https://learn.deeplearning.ai/courses/prompt-engineering"
55,"Computer Vision with PyTorch","Implement CNNs, object detection, and image segmentation with PyTorch","course","Advanced","20 hours","pytorch,cnn,vision,deep-learning,python","Deep Learning","Udemy",4.7,2800,"https://www.udemy.com/course/computer-vision-with-pytorch/"
56,"Full-Stack Data Science Bootcamp","End-to-end data science mastery: Python, SQL, ML, and deployment","course","Advanced","60 hours","data-science,python,ml,sql,project","Data Science","AlmaBetter",4.9,5800,"https://www.almabetter.com/courses/full-stack-data-science"
57,"AI-Powered Data Analytics","Learn how to apply AI models for predictive and prescriptive analytics","course","Intermediate","18 hours","ai,analytics,prediction,data-science","Data Science","edX (Microsoft)",4.6,3200,"https://www.edx.org/course/ai-for-data-analytics"
58,"Cloud AI Developer","Deploy AI and ML models using AWS, Azure, and Google Cloud services","course","Advanced","24 hours","cloud,ai,ml,aws,gcp,azure","Cloud Computing","Udacity",4.7,3300,"https://www.udacity.com/course/cloud-devops-nanodegree--nd9991"
59,"Applied Reinforcement Learning with Python","Practical RL course using OpenAI Gym and TensorFlow","course","Advanced","22 hours","reinforcement-learning,python,tensorflow,ai","Artificial Intelligence","Udemy",4.6,2500,"https://www.udemy.com/course/reinforcement-learning-in-python/"
60,"AI Ethics and Responsible Innovation","Learn ethical frameworks for AI deployment and responsible design","course","Intermediate","6 hours","ai,ethics,responsibility,governance","Artificial Intelligence","University of Helsinki",4.8,2100,"https://www.elementsofai.com/"
61,"Introduction to Cybersecurity","Learn basic cybersecurity principles, network protection, and risk management","course","Beginner","8 hours","cybersecurity,network,security,risks","Cybersecurity","Cisco Networking Academy",4.6,4100,"https://www.netacad.com/courses/introduction-cybersecurity"
62,"CompTIA Security+ Certification Prep","Comprehensive prep for Security+ certification including threats, attacks, and encryption","course","Intermediate","25 hours","security+,cybersecurity,encryption,network","Cybersecurity","LinkedIn Learning",4.7,3800,"https://www.linkedin.com/learning/comptia-securityplus-sy0-601-cert-prep"
63,"Ethical Hacking for Beginners","Hands-on ethical hacking and penetration testing basics","course","Beginner","10 hours","ethical-hacking,penetration-testing,cybersecurity,tools","Cybersecurity","EC-Council",4.7,3500,"https://www.eccouncil.org/train-certify/ethical-hacking/"
64,"Certified Ethical Hacker (CEH)","Advanced penetration testing techniques, social engineering, and network attacks","course","Advanced","40 hours","ethical-hacking,ceh,penetration,cybersecurity","Cybersecurity","EC-Council",4.8,5200,"https://iclass.eccouncil.org/"
65,"Cybersecurity Specialization","Covers security tools, network defense, cryptography, and incident response","course","Advanced","45 hours","cybersecurity,network,cryptography,forensics","Cybersecurity","University of Maryland",4.8,4300,"https://www.coursera.org/specializations/cyber-security"
66,"Cloud DevOps Engineer Nanodegree","Automate CI/CD pipelines and manage cloud infrastructure","course","Advanced","60 hours","devops,cloud,automation,aws,terraform","DevOps","Udacity",4.8,4700,"https://www.udacity.com/course/cloud-devops-nanodegree--nd9991"
67,"DevOps on AWS","Master CI/CD pipelines, infrastructure as code, and monitoring on AWS","course","Intermediate","25 hours","aws,devops,ci-cd,infrastructure","DevOps","Amazon Web Services",4.7,3600,"https://aws.amazon.com/training/devops/"
68,"Azure DevOps Fundamentals","Introduction to Azure Pipelines, Repos, and continuous delivery workflows","course","Beginner","8 hours","azure,devops,ci-cd,automation","DevOps","Microsoft Learn",4.5,2800,"https://learn.microsoft.com/en-us/training/modules/intro-to-devops/"
69,"Google Cloud DevOps Engineer","Build scalable pipelines and automate deployments on GCP","course","Intermediate","20 hours","gcp,devops,automation,cloud","DevOps","Google Cloud",4.6,3400,"https://www.coursera.org/specializations/cloud-devops-gcp"
70,"Site Reliability Engineering Advanced","Deep dive into monitoring, SLIs, SLOs, and alerting automation","course","Advanced","25 hours","sre,devops,monitoring,automation","DevOps","Google Cloud",4.8,2900,"https://www.coursera.org/learn/sre-advanced"
71,"Progressive Web Apps (PWA) Development","Learn to create installable and offline-capable web apps","course","Intermediate","10 hours","pwa,javascript,web,offline,frontend","Web Development","Google Developers",4.7,2500,"https://developers.google.com/web/ilt/pwa"
72,"Advanced Front-End Web Development","Master modern frameworks: React, Next.js, and TypeScript","course","Advanced","30 hours","frontend,react,nextjs,typescript,web","Web Development","Frontend Masters",4.8,4100,"https://frontendmasters.com/learn/"
73,"Responsive Web Design","Learn HTML5, CSS3, and accessibility standards for mobile-friendly sites","course","Beginner","12 hours","html,css,responsive,web,frontend","Web Development","freeCodeCamp",4.7,4500,"https://www.freecodecamp.org/learn/responsive-web-design/"
74,"Advanced Node.js Performance Tuning","Optimize Node.js applications for speed and scalability","course","Advanced","14 hours","node.js,performance,backend,scaling","Backend Development","Udemy",4.7,3100,"https://www.udemy.com/course/advanced-nodejs-performance/"
75,"React Native for Mobile Development","Build cross-platform mobile apps using React Native","course","Intermediate","20 hours","react-native,mobile,android,ios,apps","Mobile Development","Meta (Coursera)",4.8,3900,"https://www.coursera.org/learn/react-native"
76,"Android App Development Masterclass","Learn professional Android app development using Kotlin","course","Intermediate","35 hours","android,kotlin,mobile,apps","Mobile Development","Udemy",4.8,4300,"https://www.udemy.com/course/android-kotlin-developer/"
77,"iOS Development with SwiftUI","Create modern, reactive iOS apps using SwiftUI and Combine","course","Advanced","25 hours","ios,swift,swiftui,mobile,apple","Mobile Development","Apple Developer",4.7,2800,"https://developer.apple.com/learn/curriculum/swiftui/"
78,"Cross-Platform App Development with Flutter","Develop mobile, web, and desktop apps from one codebase","course","Intermediate","18 hours","flutter,mobile,cross-platform,apps","Mobile Development","Udemy",4.8,3700,"https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/"
79,"Mobile App Security Fundamentals","Learn secure coding, encryption, and testing for mobile platforms","course","Advanced","12 hours","mobile,security,encryption,testing","Mobile Development","OWASP",4.6,2100,"https://owasp.org/www-project-mobile-security-testing-guide/"
80,"Full-Stack Mobile Developer Bootcamp","End-to-end training: Flutter, Firebase, APIs, and deployment","course","Advanced","45 hours","mobile,fullstack,flutter,firebase,api","Mobile Development","Coding Ninjas",4.9,3400,"https://www.codingninjas.com/courses/full-stack-mobile-development"
81,"Cloud Architecture Fundamentals","Learn cloud services, deployment models, and architecture best practices","course","Beginner","10 hours","cloud,architecture,aws,azure,gcp","Cloud Computing","Google Cloud",4.6,3100,"https://www.coursera.org/learn/cloud-architecture-fundamentals"
82,"AWS Certified Solutions Architect – Associate","Comprehensive AWS architecture training for certification","course","Intermediate","35 hours","aws,cloud,solutions-architect,certification","Cloud Computing","Amazon Web Services",4.8,4200,"https://aws.amazon.com/certification/certified-solutions-architect-associate/"
83,"Microsoft Azure Architect Technologies","Design and implement Azure cloud solutions with best practices","course","Intermediate","30 hours","azure,cloud,architecture,solutions","Cloud Computing","Microsoft Learn",4.7,3700,"https://learn.microsoft.com/en-us/certifications/azure-solutions-architect/"
84,"Google Cloud Professional Cloud Architect","Master GCP services, infrastructure, and security for enterprise solutions","course","Advanced","40 hours","gcp,cloud,architecture,enterprise,security","Cloud Computing","Google Cloud",4.8,3900,"https://cloud.google.com/certification/cloud-architect"
85,"Advanced Cloud Architecture and Microservices","Learn microservices, serverless design, and container orchestration","course","Advanced","25 hours","microservices,cloud,architecture,kubernetes,serverless","Cloud Computing","Udemy",4.7,2800,"https://www.udemy.com/course/advanced-cloud-architecture-microservices/"
86,"Web3 Development Bootcamp","Build decentralized applications using Ethereum, Solidity, and smart contracts","course","Intermediate","20 hours","web3,ethereum,solidity,dapps,blockchain","Blockchain","Dapp University",4.8,3500,"https://www.dappuniversity.com/"
87,"Blockchain and Cryptocurrency Explained","Learn blockchain fundamentals, crypto, and smart contracts","course","Beginner","12 hours","blockchain,crypto,smart-contracts,web3","Blockchain","University of Michigan (Coursera)",4.7,4100,"https://www.coursera.org/learn/blockchain-cryptocurrency"
88,"Ethereum Smart Contract Programming","Hands-on Solidity and smart contract development","course","Intermediate","15 hours","ethereum,solidity,smart-contracts,dapps","Blockchain","Udemy",4.7,3300,"https://www.udemy.com/course/ethereum-and-solidity-the-complete-developers-guide/"
89,"Data Engineering on Google Cloud","Learn data pipelines, ETL, BigQuery, and workflow orchestration","course","Intermediate","20 hours","data-engineering,etl,bigquery,gcp,pipelines","Data Engineering","Google Cloud",4.8,3800,"https://www.coursera.org/specializations/gcp-data-engineering"
90,"Big Data Specialization","Master Hadoop, Spark, Pig, Hive, and large-scale data processing","course","Advanced","50 hours","big-data,spark,hadoop,etl,processing","Data Engineering","University of California, San Diego",4.7,3900,"https://www.coursera.org/specializations/big-data"
91,"Data Warehousing and ETL","Learn to design data warehouses and ETL processes for analytics","course","Intermediate","15 hours","data-warehousing,etl,sql,bigquery","Data Engineering","Udemy",4.6,2800,"https://www.udemy.com/course/data-warehousing-and-etl/"
92,"Advanced Data Pipelines with Apache Airflow","Orchestrate, schedule, and monitor complex data workflows","course","Advanced","18 hours","airflow,data-pipelines,etl,workflow,python","Data Engineering","Udemy",4.7,3100,"https://www.udemy.com/course/airflow-the-complete-hands-on-course/"
93,"System Design Fundamentals","Learn the principles of scalable, reliable, and maintainable system architecture","course","Intermediate","12 hours","system-design,architecture,scalability,performance","Software Engineering","Educative.io",4.7,3500,"https://www.educative.io/courses/grokking-the-system-design-interview"
94,"Scalable System Design & Microservices","Design large-scale systems, microservices, caching, and load balancing","course","Advanced","25 hours","system-design,microservices,scalability,caching","Software Engineering","Udemy",4.8,3200,"https://www.udemy.com/course/scalable-system-design-microservices/"
95,"Advanced Distributed Systems","Master distributed algorithms, consensus protocols, and fault tolerance","course","Advanced","30 hours","distributed-systems,consensus,fault-tolerance,architecture","Software Engineering","Coursera (MIT)",4.9,2800,"https://www.coursera.org/learn/distributed-systems"
96,"Serverless Architecture on AWS","Learn to build scalable applications using AWS Lambda and serverless design","course","Intermediate","15 hours","serverless,aws,lambda,cloud,architecture","Cloud Computing","AWS Training",4.7,3300,"https://aws.amazon.com/training/serverless/"
97,"Kubernetes for Cloud Architects","Manage containerized applications and orchestration in the cloud","course","Advanced","20 hours","kubernetes,cloud,containers,orchestration","Cloud Computing","Udemy",4.8,3100,"https://www.udemy.com/course/kubernetes-for-cloud-architects/"
98,"AI for Cloud Engineers","Apply AI and ML models to cloud-based applications and pipelines","course","Advanced","18 hours","ai,ml,cloud,application,automation","Artificial Intelligence","Coursera (IBM)",4.7,2900,"https://www.coursera.org/learn/ai-for-cloud-engineers"
99,"DataOps and MLOps","Implement DevOps practices for data pipelines and ML workflows","course","Advanced","20 hours","dataops,mlops,automation,etl,ml","Data Engineering","Udemy",4.8,3500,"https://www.udemy.com/course/dataops-mlops/"
100,"Cloud Security Fundamentals","Learn cloud security principles, identity management, and compliance","course","Beginner","10 hours","cloud,security,identity,compliance,aws,azure","Cloud Computing","Coursera (IBM)",4.7,3800,"https://www.coursera.org/learn/cloud-security-fundamentals"
101,"UI/UX Design Fundamentals","Learn the basics of user interface and user experience design","course","Beginner","12 hours","ui,ux,design,usability,wireframes","UI/UX Design","Coursera (California Institute of the Arts)",4.7,4200,"https://www.coursera.org/learn/ui-ux-design"
102,"Interaction Design Specialization","Advanced principles of interaction design, prototyping, and testing","course","Intermediate","30 hours","interaction-design,ux,prototyping,usability,testing","UI/UX Design","Coursera (University of California, San Diego)",4.8,3800,"https://www.coursera.org/specializations/interaction-design"
103,"Adobe XD Masterclass","Hands-on UI/UX design using Adobe XD, wireframes, and prototypes","course","Intermediate","15 hours","ui,ux,adobe-xd,prototyping,wireframes","UI/UX Design","Udemy",4.7,3500,"https://www.udemy.com/course/adobe-xd-masterclass/"
104,"Mobile App UI/UX Design","Design intuitive and engaging mobile app interfaces","course","Intermediate","18 hours","ui,ux,mobile,app,design,prototyping","UI/UX Design","LinkedIn Learning",4.7,3000,"https://www.linkedin.com/learning/mobile-app-ui-ux-design"
105,"Advanced UI Animation","Learn motion design, micro-interactions, and animated interfaces","course","Advanced","12 hours","ui,ux,animation,micro-interactions,motion","UI/UX Design","Skillshare",4.8,2800,"https://www.skillshare.com/classes/Advanced-UI-Animation"
106,"Python Complete Bootcamp","Beginner to advanced Python programming including OOP and projects","course","Beginner","40 hours","python,programming,oops,data-science,projects","Python","Udemy",4.8,5000,"https://www.udemy.com/course/complete-python-bootcamp/"
107,"Python for Data Science","Learn Python libraries for data analysis: pandas, numpy, matplotlib","course","Intermediate","20 hours","python,data-science,pandas,numpy,matplotlib","Python","Coursera (IBM)",4.7,4200,"https://www.coursera.org/learn/python-for-applied-data-science"
108,"Python Web Development with Django","Build web applications using Python and Django framework","course","Intermediate","25 hours","python,django,web-development,backend,framework","Python","Udemy",4.7,3800,"https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/"
109,"Advanced Python Programming","Deep dive into decorators, generators, concurrency, and testing","course","Advanced","18 hours","python,advanced,decorators,generators,concurrency,testing","Python","LinkedIn Learning",4.8,3500,"https://www.linkedin.com/learning/advanced-python"
110,"Python Machine Learning Projects","Hands-on ML projects with scikit-learn, TensorFlow, and Python","course","Advanced","22 hours","python,ml,machine-learning,scikit-learn,tensorflow","Python","Udemy",4.8,4000,"https://www.udemy.com/course/python-machine-learning-projects/"
111,"JavaScript Essentials","Learn modern JavaScript basics, ES6, and DOM manipulation","course","Beginner","15 hours","javascript,es6,dom,programming,web","JavaScript","freeCodeCamp",4.7,4500,"https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures/"
112,"Advanced JavaScript Concepts","Closures, prototypes, async/await, and advanced ES6+ features","course","Advanced","20 hours","javascript,advanced,es6,async,closures,prototypes","JavaScript","Udemy",4.8,3800,"https://www.udemy.com/course/advanced-javascript-concepts/"
113,"React for Beginners","Build interactive UI components with React and JSX","course","Beginner","18 hours","react,javascript,ui,frontend,components","React","Scrimba",4.7,4000,"https://scrimba.com/learn/learnreact"
114,"React Advanced Patterns","State management, hooks, context API, and performance optimization","course","Advanced","22 hours","react,hooks,context,state,performance","React","Frontend Masters",4.8,3700,"https://frontendmasters.com/courses/react-advanced-patterns/"
115,"Node.js Fundamentals","Learn server-side development using Node.js and Express","course","Beginner","15 hours","node.js,express,javascript,backend,server","Node.js","Udemy",4.7,3800,"https://www.udemy.com/course/nodejs-the-complete-guide/"
116,"Advanced Node.js & Microservices","Build scalable Node.js applications and microservices architecture","course","Advanced","20 hours","node.js,microservices,backend,scalability","Node.js","Udemy",4.8,3400,"https://www.udemy.com/course/advanced-nodejs/"
117,"Database Design Essentials","Learn relational database design, normalization, and SQL queries","course","Beginner","10 hours","database,sql,design,normalization,queries","Database Design","Coursera (University of Michigan)",4.7,3600,"https://www.coursera.org/learn/database-management"
118,"SQL for Data Analysis","Practical SQL queries, joins, and aggregation for analytics","course","Intermediate","12 hours","sql,data-analysis,joins,queries,aggregation","Database Design","Udemy",4.7,4000,"https://www.udemy.com/course/sql-for-data-analysis/"
119,"Advanced Database Management","Indexes, stored procedures, transactions, and performance tuning","course","Advanced","15 hours","database,advanced,performance,index,sql","Database Design","LinkedIn Learning",4.8,3200,"https://www.linkedin.com/learning/advanced-database-management/"
