task_id,title,description,type,difficulty,estimated_time,category,skill_level,tags,steps,hints,video_url,web_url
machine-learning-linear-regression,Linear Regression: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Linear Regression in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,linear,easy","{"step_1": "Review the theoretical foundations of Linear Regression within Machine Learning.", "step_2": "Implement a concise example demonstrating Linear Regression.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Linear Regression in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=6ffa3a671f6,https://scikit-learn.org/stable/#4ea7b52c
machine-learning-svm-medium,SVM: Medium Practical Task 9,"A medium-level, course-ready exercise focused on SVM in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,svm,medium","{""step_1"": ""Review the theoretical foundations of SVM within Machine Learning."", ""step_2"": ""Implement a concise example demonstrating SVM."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for SVM in Machine Learning."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=ccd374aac54,https://scikit-learn.org/stable/#e43da21e
machine-learning-cross-validation-hard,Cross-Validation: Hard Practical Task 6,"A hard-level, course-ready exercise focused on Cross-Validation in Machine Learning. Learners will implement, validate, and summarize results concisely.",practice,Hard,40 minutes,Machine Learning,Advanced,"machine-learning,cross-validation,hard","{""step_1"": ""Review the theoretical foundations of Cross-Validation within Machine Learning."", ""step_2"": ""Implement a concise example demonstrating Cross-Validation."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Cross-Validation in Machine Learning."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=94c38493be5,https://scikit-learn.org/stable/#8a0737d5
machine-learning-svm-hard,SVM: Hard Practical Task 9,"A hard-level, course-ready exercise focused on SVM in Machine Learning. Learners will implement, validate, and summarize results concisely.",practice,Hard,40 minutes,Machine Learning,Advanced,"machine-learning,svm,hard","{""step_1"": ""Review the theoretical foundations of SVM within Machine Learning."", ""step_2"": ""Implement a concise example demonstrating SVM."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for SVM in Machine Learning."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=b20c445ddd7,https://scikit-learn.org/stable/#36ec1089
web-development-html-semantics,HTML Semantics: Easy Practical Task 1,"A easy-level, course-ready exercise focused on HTML Semantics in Web Development. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Web Development,Beginner,"web-development,html,easy","{""step_1"": ""Review the theoretical foundations of HTML Semantics within Web Development."", ""step_2"": ""Implement a concise example demonstrating HTML Semantics."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for HTML Semantics in Web Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=943d4421be9,https://developer.mozilla.org/#51fb9718
web-development-css-fundamentals,CSS Fundamentals: Easy Practical Task 2,"A easy-level, course-ready exercise focused on CSS Fundamentals in Web Development. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Web Development,Beginner,"web-development,css,easy","{""step_1"": ""Review the theoretical foundations of CSS Fundamentals within Web Development."", ""step_2"": ""Implement a concise example demonstrating CSS Fundamentals."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for CSS Fundamentals in Web Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=63497a923b6,https://developer.mozilla.org/#c764813b
web-development-responsive-design,Responsive Design: Easy Practical Task 3,"A easy-level, course-ready exercise focused on Responsive Design in Web Development. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Web Development,Beginner,"web-development,responsive,easy","{""step_1"": ""Review the theoretical foundations of Responsive Design within Web Development."", ""step_2"": ""Implement a concise example demonstrating Responsive Design."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Responsive Design in Web Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=5558000ef84,https://developer.mozilla.org/#d08cd3bc
web-development-flexbox-easy,Flexbox: Easy Practical Task 4,"A easy-level, course-ready exercise focused on Flexbox in Web Development. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Web Development,Beginner,"web-development,flexbox,easy","{""step_1"": ""Review the theoretical foundations of Flexbox within Web Development."", ""step_2"": ""Implement a concise example demonstrating Flexbox."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Flexbox in Web Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=f988c47debd,https://developer.mozilla.org/#72f4fafc
web-development-grid-layout,Grid Layout: Easy Practical Task 5,"A easy-level, course-ready exercise focused on Grid Layout in Web Development. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Web Development,Beginner,"web-development,grid,easy","{""step_1"": ""Review the theoretical foundations of Grid Layout within Web Development."", ""step_2"": ""Implement a concise example demonstrating Grid Layout."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Grid Layout in Web Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=f9c97d72057,https://developer.mozilla.org/#ecce8751
web-development-accessibility-a11y,Accessibility (a11y): Easy Practical Task 6,"A easy-level, course-ready exercise focused on Accessibility (a11y) in Web Development. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Web Development,Beginner,"web-development,accessibility,easy","{""step_1"": ""Review the theoretical foundations of Accessibility (a11y) within Web Development."", ""step_2"": ""Implement a concise example demonstrating Accessibility (a11y)."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Accessibility (a11y) in Web Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=386f44eed10,https://developer.mozilla.org/#36b3148a
web-development-forms-validation,Forms & Validation: Easy Practical Task 7,"A easy-level, course-ready exercise focused on Forms & Validation in Web Development. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Web Development,Beginner,"web-development,forms,easy","{""step_1"": ""Review the theoretical foundations of Forms & Validation within Web Development."", ""step_2"": ""Implement a concise example demonstrating Forms & Validation."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Forms & Validation in Web Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=550c1c47342,https://developer.mozilla.org/#e08e1ca7
web-development-fetch-api,Fetch API: Easy Practical Task 8,"A easy-level, course-ready exercise focused on Fetch API in Web Development. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Web Development,Beginner,"web-development,fetch,easy","{""step_1"": ""Review the theoretical foundations of Fetch API within Web Development."", ""step_2"": ""Implement a concise example demonstrating Fetch API."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Fetch API in Web Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=4b702d8321a,https://developer.mozilla.org/#2c76e25e
web-development-spa-routing,SPA Routing Basics: Easy Practical Task 9,"A easy-level, course-ready exercise focused on SPA Routing Basics in Web Development. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Web Development,Beginner,"web-development,spa,easy","{""step_1"": ""Review the theoretical foundations of SPA Routing Basics within Web Development."", ""step_2"": ""Implement a concise example demonstrating SPA Routing Basics."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for SPA Routing Basics in Web Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=247854324d6,https://developer.mozilla.org/#bf24b450
web-development-web-security,Web Security (CSP/CORS): Easy Practical Task 10,"A easy-level, course-ready exercise focused on Web Security (CSP/CORS) in Web Development. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Web Development,Beginner,"web-development,web,easy","{""step_1"": ""Review the theoretical foundations of Web Security (CSP/CORS) within Web Development."", ""step_2"": ""Implement a concise example demonstrating Web Security (CSP/CORS)."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Web Security (CSP/CORS) in Web Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=1fd1753a331,https://developer.mozilla.org/#b00bb8fe
web-development-flexbox-medium,Flexbox: Medium Practical Task 4,"A medium-level, course-ready exercise focused on Flexbox in Web Development. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,Web Development,Intermediate,"web-development,flexbox,medium","{""step_1"": ""Review the theoretical foundations of Flexbox within Web Development."", ""step_2"": ""Implement a concise example demonstrating Flexbox."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Flexbox in Web Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=b2b5e1e7c9e,https://developer.mozilla.org/#f772b035
web-development-flexbox-hard,Flexbox: Hard Practical Task 4,"A hard-level, course-ready exercise focused on Flexbox in Web Development. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,Web Development,Advanced,"web-development,flexbox,hard","{""step_1"": ""Review the theoretical foundations of Flexbox within Web Development."", ""step_2"": ""Implement a concise example demonstrating Flexbox."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Flexbox in Web Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=5acb7b36bb8,https://developer.mozilla.org/#a3d43c94
data-science-data-cleaning,Data Cleaning: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Data Cleaning in Data Science. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Data Science,Beginner,"data-science,data,easy","{""step_1"": ""Review the theoretical foundations of Data Cleaning within Data Science."", ""step_2"": ""Implement a concise example demonstrating Data Cleaning."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Data Cleaning in Data Science."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=435c12c7410,https://pandas.pydata.org/docs/#351fe7cf
data-science-eda-easy,EDA: Easy Practical Task 2,"A easy-level, course-ready exercise focused on EDA in Data Science. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Data Science,Beginner,"data-science,eda,easy","{""step_1"": ""Review the theoretical foundations of EDA within Data Science."", ""step_2"": ""Implement a concise example demonstrating EDA."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for EDA in Data Science."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=690f8970971,https://pandas.pydata.org/docs/#76470e08
data-science-descriptive-stats,Descriptive Stats: Easy Practical Task 3,"A easy-level, course-ready exercise focused on Descriptive Stats in Data Science. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Data Science,Beginner,"data-science,descriptive,easy","{""step_1"": ""Review the theoretical foundations of Descriptive Stats within Data Science."", ""step_2"": ""Implement a concise example demonstrating Descriptive Stats."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Descriptive Stats in Data Science."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=58e3166a4c9,https://pandas.pydata.org/docs/#bb5f0e37
data-science-probability-basics,Probability Basics: Easy Practical Task 4,"A easy-level, course-ready exercise focused on Probability Basics in Data Science. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Data Science,Beginner,"data-science,probability,easy","{""step_1"": ""Review the theoretical foundations of Probability Basics within Data Science."", ""step_2"": ""Implement a concise example demonstrating Probability Basics."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Probability Basics in Data Science."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=aff7833c097,https://pandas.pydata.org/docs/#84e65329
data-science-hypothesis-testing,Hypothesis Testing: Easy Practical Task 5,"A easy-level, course-ready exercise focused on Hypothesis Testing in Data Science. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Data Science,Beginner,"data-science,hypothesis,easy","{""step_1"": ""Review the theoretical foundations of Hypothesis Testing within Data Science."", ""step_2"": ""Implement a concise example demonstrating Hypothesis Testing."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Hypothesis Testing in Data Science."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=883edb1046f,https://pandas.pydata.org/docs/#6cd6318d
data-science-pandas-joins,Pandas Joins: Easy Practical Task 6,"A easy-level, course-ready exercise focused on Pandas Joins in Data Science. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Data Science,Beginner,"data-science,pandas,easy","{""step_1"": ""Review the theoretical foundations of Pandas Joins within Data Science."", ""step_2"": ""Implement a concise example demonstrating Pandas Joins."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Pandas Joins in Data Science."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=645804ba945,https://pandas.pydata.org/docs/#e517452d
data-science-feature-selection,Feature Selection: Easy Practical Task 7,"A easy-level, course-ready exercise focused on Feature Selection in Data Science. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Data Science,Beginner,"data-science,feature,easy","{""step_1"": ""Review the theoretical foundations of Feature Selection within Data Science."", ""step_2"": ""Implement a concise example demonstrating Feature Selection."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Feature Selection in Data Science."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=d0ae15c8bae,https://pandas.pydata.org/docs/#2d14ab9a
data-science-time-series,Time Series Basics: Easy Practical Task 8,"A easy-level, course-ready exercise focused on Time Series Basics in Data Science. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Data Science,Beginner,"data-science,time,easy","{""step_1"": ""Review the theoretical foundations of Time Series Basics within Data Science."", ""step_2"": ""Implement a concise example demonstrating Time Series Basics."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Time Series Basics in Data Science."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=25130f47dfe,https://pandas.pydata.org/docs/#64f4d788
data-science-ab-testing,A/B Testing: Easy Practical Task 9,"A easy-level, course-ready exercise focused on A/B Testing in Data Science. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Data Science,Beginner,"data-science,a/b,easy","{""step_1"": ""Review the theoretical foundations of A/B Testing within Data Science."", ""step_2"": ""Implement a concise example demonstrating A/B Testing."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for A/B Testing in Data Science."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=48dc8858866,https://pandas.pydata.org/docs/#c514eeb4
